Time,RX Data Rate,TX Data Rate,Disk Writes,Space_Available
391,422,7K,21060347,21437988
392,398,6K,21060355,21437988
393,409,6K,21060497,21437988
394,402,6K,21179401,21437988
395,392,5K,21179409,21437988
396,390,5K,21179417,21437988
397,395,5K,21179425,21437988
398,403,5K,21179437,21437988
399,400,4K,21258265,21437988
400,390,6K,21258273,21437988
401,377,5K,21258281,21437988
402,375,5K,21290293,21437988
403,383,5K,21389753,21437988
404,386,4K,21389761,21437988
405,384,4K,21389769,21437988
406,374,4K,21389781,21437988
407,363,4K,21389789,21437988
408,353,5K,21468397,21437988
409,352,5K,21468409,21437988
410,371,4K,21468417,21437988
411,392,4K,21468425,21437988
412,381,4K,21595261,21437988
413,954,4K,21608845,21437988
414,929,4K,21608857,21437988
415,899,3K,21608865,21437988
416,866,4K,21608956,21437960
417,896,4K,21616154,21437924
418,882,4K,21686818,21437960
419,848,4K,21686826,21437960
420,823,4K,21686834,21437960
421,797,3K,21813230,21437960
422,769,3K,21813242,21437960
423,755,3K,21813250,21437960
424,739,3K,21813258,21437960
425,782,4K,21813266,21437960
426,757,4K,21813278,21437960
427,716,4K,21891886,21437936
428,694,3K,21891898,21437936
429,672,3K,21891914,21437956
430,651,3K,21891948,21437956
431,631,3K,22028024,21437956
432,619,3K,22028036,21437956
433,616,3K,22028048,17226860
434,619,5K,22028060,17226860
435,614,6K,22028068,17226860
436,610,6K,22028084,17226860
437,596,6K,22028096,17226860
438,595,5K,22106700,17243652
439,584,5K,22106712,17243652
440,578,5K,22106724,17243652
441,565,5K,22106740,17243652
442,553,4K,22250385,17243652
443,538,4K,22250397,17243652
444,556,6K,22250409,17243652
445,540,7K,22250421,17243652
446,527,7K,22250437,17243652
447,512,7K,22250449,17243652
448,495,7K,22250461,17243652
449,488,6K,22328681,17243652
450,492,6K,22328693,17243652
451,486,6K,22328709,17243652
452,487,6K,22461377,17243652
453,503,5K,22461389,17243652
454,519,5K,22461401,17243652
455,540,5K,22461437,17243624
456,769,6K,22461449,17243624
457,741,6K,22461465,17243624
458,717,6K,22574753,17243624
459,695,5K,22574765,17243624
460,676,5K,22574777,17243624
461,653,5K,22574789,17243624
462,637,5K,22574797,17243624
463,618,4K,22574805,17243624
464,601,4K,22574821,17243624
465,572,5K,22653561,17243624
466,565,5K,22653569,17243624
467,568,5K,22653581,17243624
468,566,5K,22791897,17243624
469,572,4K,22791973,17243624
470,553,4K,22791982,17243624
471,539,4K,22791994,17243624
472,524,4K,22792018,17243588
473,520,4K,22792030,17243624
474,505,3K,22870918,17243624
475,477,5K,22870930,17243624
476,464,5K,22870942,17243624
477,451,5K,22870950,17243624
478,443,4K,23019586,17243624
479,428,4K,23019598,17243624
480,421,4K,23019610,17243624
481,402,4K,23019618,17243624
482,411,4K,23019630,17243624
483,431,3K,23098606,17243624
484,440,5K,23098618,17243624
485,441,5K,23098626,17243624
486,424,5K,23098634,17243624
487,410,4K,23241742,17243624
488,397,4K,23241754,17243624
489,384,4K,23241762,17243624
490,373,4K,23241774,17243624
491,361,4K,23241782,17243624
492,352,7K,23320750,17243624
493,333,7K,23320758,17243624
494,325,7K,23320968,17243624
495,331,6K,23320976,17243624
496,336,6K,23446372,17243624
497,348,6K,23446380,17243624
498,359,5K,23446388,17243624
499,361,5K,23446400,17243624
500,358,5K,23446408,17243624
501,346,9K,23525344,17243624
502,331,8K,23525352,17243624
503,321,8K,23525364,17243624
504,324,7K,23525372,17243624
505,362,7K,23631688,17243596
506,350,7K,23631700,17243596
507,339,6K,23631708,17243596
508,344,6K,23631716,17243596
509,345,7K,23710360,17243596
510,345,7K,23710372,17243596
511,353,7K,23710380,17243596
512,342,6K,23788804,17243596
513,344,6K,23788812,17243596
514,349,6K,23788820,17243596
515,403,5K,23788832,17243596
516,390,5K,23905576,17243596
517,378,5K,23905693,17243576
518,366,6K,23905705,17243576
519,354,6K,23905717,17243576
520,346,6K,23905729,17243576
521,338,6K,23905741,17243576
522,342,5K,23905774,17243576
523,346,5K,23985474,17243596
524,346,5K,23985486,17243596
525,351,5K,23985498,17243596
526,351,5K,23985510,17243596
527,337,4K,24121598,17243596
528,388,6K,24121614,17243608
529,391,6K,24121626,17243608
530,394,5K,24121638,17243608
531,389,5K,24121650,17243608
532,381,5K,24121662,17243608
533,368,5K,24121678,17243608
534,357,5K,24121690,17243608
535,346,4K,24200378,17243608
536,335,4K,24200390,17243608
537,327,4K,24200402,17243608
538,324,4K,24333754,17243608
539,329,5K,24333766,17243608
540,334,5K,24333778,17243608
541,331,5K,24333790,17243608
542,338,5K,24333802,17243608
543,328,5K,24333818,17243608
544,321,4K,24333830,17243608
545,313,4K,24412554,17243608
546,318,4K,24412711,17243608
547,323,4K,24412723,17243608
548,366,4K,24412735,17243608
549,365,5K,24552783,17243608
550,355,7K,24552795,17243608
551,344,7K,24552803,17243608
552,341,6K,24552823,17243608
553,338,6K,24552831,17243608
554,332,6K,24552839,17243608
555,337,5K,24631479,17243608
556,338,5K,24631491,17243608
557,338,5K,24631499,17243608
558,334,5K,24631507,17243608
559,414,8K,24775851,17243580
560,404,8K,24775863,17243580
561,391,8K,24775871,17243580
562,391,7K,24775883,17243580
563,396,7K,24775891,17243580
564,388,6K,24775903,17243580
565,385,6K,24775911,17243580
566,373,6K,24855291,17243580
567,371,6K,24855299,17243392
568,381,6K,24855311,17243556
569,374,6K,24855319,17243556
570,372,6K,24996575,17243576
571,370,5K,24996688,17243576
572,360,5K,24996700,17243576
573,338,5K,24996708,17243576
574,328,5K,25075400,17243576
575,324,4K,25075425,17243540
576,317,5K,25075437,17243540
577,318,5K,25153785,17243576
578,326,5K,25153793,17243576
579,335,4K,25153801,17243576
580,343,4K,25265769,17243576
581,350,4K,25265781,17243576
582,365,4K,25265789,17243576
583,353,3K,25265797,17243576
584,342,4K,25265805,17243576
585,321,4K,25344505,17243576
586,312,4K,25344513,17243576
587,302,4K,25344521,17243576
588,287,3K,25455561,17243576
589,279,3K,25455573,17243576
590,270,3K,25455581,17243576
591,287,3K,25455589,17243576
592,288,3K,25455597,17243576
593,295,4K,25534457,17243576
594,387,3K,25534564,17243576
595,390,3K,25534572,17243576
596,385,3K,25534584,17243576
597,378,3K,25534592,17243576
598,356,3K,25666532,17243576
599,348,3K,25666540,17243576
600,337,3K,25666552,17243576
601,326,2K,25666560,17243576
602,321,3K,25666572,17243576
603,301,6K,25745512,17243576
604,292,5K,25745524,17243576
605,283,5K,25745532,17243576
606,289,5K,25823368,17243576
607,327,4K,25823376,17243576
608,405,4K,25911956,17243548
609,415,4K,25951544,17243548
610,409,4K,25951560,17243548
611,399,5K,25951572,17243548
612,389,5K,25951584,17243548
613,377,7K,25951592,17243548
614,421,7K,25951608,17243548
615,408,6K,26031084,17243548
616,473,6K,26036732,17243548
617,458,6K,26036744,17243548
618,445,6K,26114800,17243548
619,431,5K,26114816,17243524
620,438,5K,26114899,17243524
621,426,6K,26243791,17243524
622,424,6K,26243803,17243524
623,425,6K,26243815,17243524
624,449,5K,26243831,8821348
625,465,5K,26243843,8821348
626,474,5K,26243855,8821348
627,476,5K,26243885,8821348
628,462,4K,26322141,8850648
629,447,4K,26322153,8850648
630,432,4K,26322169,8850648
631,473,4K,26322177,8850648
632,462,5K,26446097,8850648
633,447,4K,26446109,8850648
634,418,4K,26446117,8850648
635,404,4K,26446133,8850648
636,391,4K,26446145,8850648
637,381,4K,26446157,8850648
638,377,3K,26446169,8850648
639,380,3K,26524857,8850648
640,383,3K,26524873,8850648
641,393,3K,26524885,8850648
642,403,4K,26524897,8850648
643,405,4K,26656825,8850648
644,413,3K,26656837,8850648
645,411,3K,26656853,8850648
646,401,3K,26656865,8850648
647,401,3K,26656877,8850648
648,398,3K,26656889,8850648
649,392,3K,26656996,8850648
650,402,3K,26735224,8850648
651,389,2K,26735236,8850648
652,377,3K,26735248,8850648
653,365,3K,26861004,8850648
654,361,3K,26861012,8850648
655,373,3K,26861020,8850648
656,372,3K,26861032,8850648
657,378,2K,26861040,8850648
658,374,2K,26889968,8850648
659,365,2K,26939892,8850648
660,374,2K,26939904,8850648
661,376,2K,26939912,8850648
662,365,3K,27075584,8850648
663,353,3K,27090860,8850552
664,457,5K,27090910,8850552
665,445,4K,27090918,8850552
666,430,4K,27090926,8850552
667,415,4K,27169678,8850552
668,416,4K,27169690,8850552
669,424,4K,27169698,8850552
670,419,4K,27247626,8850612
671,406,4K,27247634,8850612
672,400,4K,27247646,8850612
673,407,5K,27247832,8850612
674,409,5K,27356316,8850612
675,409,5K,27356324,8850612
676,383,5K,27356336,8850612
677,371,4K,27356344,8850612
678,365,4K,27435311,8850576
679,354,5K,27435319,8850576
680,363,4K,27435331,8850576
681,370,4K,27435339,8850612
682,373,4K,27564303,8850612
683,364,4K,27564311,8850612
684,353,4K,27564323,8850612
685,342,3K,27564348,8850612
686,332,3K,27564356,8850612
687,340,4K,27643360,8850612
688,344,4K,27643368,8850612
689,342,3K,27643380,8850612
690,335,3K,27643388,8850612
691,324,3K,27756288,8850612
692,312,3K,27756296,8850612
693,320,3K,27756308,8850612
694,310,3K,27756316,8850612
695,327,3K,27835276,8850612
696,320,3K,27835404,8850612
697,310,3K,27835416,8850612
698,300,3K,27835428,8850612
699,285,3K,27945192,8850612
700,276,2K,27945200,8850612
701,279,2K,27945212,8850612
702,286,2K,27945224,8850612
703,292,2K,27945232,8850612
704,292,4K,28006300,8850612
705,290,4K,28024240,8850612
706,289,4K,28024248,29818484
707,295,4K,28024256,29818484
708,294,3K,28024272,29818480
709,296,3K,28024280,29818480
710,316,3K,28024292,29818480
711,306,3K,28024316,29818452
712,350,3K,28024370,29818428
713,343,3K,28024386,29818448
714,338,5K,28024394,29818448
715,321,4K,28024402,29818424
716,311,4K,28024418,29818444
717,309,6K,28024430,29818444
718,390,6K,28024438,29818444
719,398,6K,28024446,29818444
720,393,5K,28024454,29818424
721,388,5K,28024672,29818424
722,393,5K,28024680,29818424
723,398,7K,28024692,29818424
724,383,6K,28024704,29818420
725,371,6K,28024712,29818420
726,359,8K,28024728,29818420
727,348,8K,28024736,29818420
728,341,8K,28024744,29818420
729,329,7K,28024752,29818420
730,368,7K,28026349,29818420
731,356,7K,28026357,29818420
732,355,8K,28026369,29818420
733,355,8K,28026377,29818420
734,359,7K,28026385,29818420
735,370,7K,28026393,29818420
736,433,7K,28026405,29818420
737,426,6K,28026413,29818420
738,412,6K,28026993,29818420
739,391,6K,28027005,29818420
740,396,8K,28027013,29818420
741,442,7K,28027021,29818420
742,475,7K,28027029,29818420
743,509,6K,28027041,29818420
744,523,6K,28027049,29818420
745,621,6K,28027162,29818420
746,661,5K,28027218,29818440
747,689,5K,28027230,29818440
748,727,7K,28027246,29818440
749,736,7K,28027254,29818440
750,725,6K,28027262,29818440
751,691,6K,28027274,29818440
752,670,6K,28027282,29818440
753,650,5K,28028922,29818440
754,611,5K,28028930,29818440
755,593,5K,28028942,29818440
756,585,5K,28028950,29818440
757,569,7K,28028962,29818440
758,540,6K,28028974,29818440
759,522,6K,28028990,29818412
760,569,6K,28028998,29818412
761,583,5K,28029006,29818412
762,593,5K,28029018,29818412
763,587,5K,28029034,29818412
764,581,4K,28029042,29818412
765,551,4K,28029050,29818412
766,533,6K,28029062,29818412
767,565,6K,28029070,29818412
768,537,6K,28029170,29818412
769,528,7K,28029178,29818412
770,505,7K,28029186,29818412
771,490,7K,28029198,29818412
772,476,6K,28029206,29818412
773,477,6K,28029214,29818412
774,482,6K,28029222,29818412
775,524,6K,28029230,29818412
776,528,6K,28030539,29818376
777,510,7K,28030551,29818412
778,496,7K,28030559,29818412
779,477,7K,28030567,29818412
780,480,6K,28030579,29818412
781,464,7K,28030587,29818412
782,451,7K,28030595,29818412
783,444,6K,28030927,29818412
784,445,6K,28030939,29818412
785,444,6K,28030947,29818412
786,460,5K,28030955,29818412
787,462,5K,28030963,29818412
788,456,5K,28030975,29818412
789,462,6K,28031155,29818412
790,467,5K,28031167,29818412
791,461,5K,28031239,29818412
792,451,5K,28031251,29818412
793,436,5K,28031259,29818412
794,426,4K,28031271,29818412
795,422,4K,28031279,29818412
796,408,4K,28031291,29818412
797,408,4K,28031303,29818412
798,421,5K,28031311,29818412
799,425,4K,28032383,29818412
800,411,4K,28032395,29818412
801,398,4K,28032407,29818412
