Time,APM1 CPU,APM1 Memory,APM2 CPU,APM2 Memory,APM3 CPU,APM3 Memory,APM4 CPU,APM4 Memory,APM5 CPU,APM5 Memory,APM6 CPU,APM6 Memory
450,0.0,0.0,0.0,0.0,35.2,0.0,2.5,0.0,13.7,0.0,0.0,2.7
455,0.0,0.0,0.0,0.0,35.0,0.0,2.5,0.0,13.5,0.0,0.0,2.7
460,0.0,0.0,0.0,0.0,35.4,0.0,2.5,0.0,13.3,0.0,0.0,2.8
465,0.0,0.0,0.0,0.0,35.8,0.0,2.5,0.0,13.2,0.0,0.0,2.8
470,0.0,0.0,0.0,0.0,36.2,0.0,2.5,0.0,13.1,0.0,0.0,2.9
475,0.0,0.0,0.0,0.0,36.6,0.0,2.5,0.0,13.0,0.0,0.0,2.9
480,0.0,0.0,0.0,0.0,37.0,0.0,2.5,0.0,12.8,0.0,0.0,2.9
485,0.0,0.0,0.0,0.0,37.2,0.0,2.5,0.0,12.9,5.1,0.0,2.9
490,0.0,0.0,0.0,0.0,37.2,0.0,2.5,0.0,13.2,5.1,0.0,3.0
495,0.0,0.0,0.0,0.0,37.1,0.0,2.5,0.0,13.4,5.1,0.0,3.0
500,0.0,0.0,0.0,0.0,37.1,0.0,2.5,0.0,13.7,5.1,0.0,3.0
505,0.0,0.0,0.0,0.0,37.2,0.0,2.5,0.0,13.9,5.1,0.0,3.0
510,0.0,0.0,0.0,0.0,37.1,0.0,2.5,0.0,14.2,0.0,0.0,3.1
515,0.0,0.0,0.0,0.0,36.7,0.0,2.5,0.0,14.1,0.0,0.0,3.1
520,0.0,0.0,0.0,0.0,36.4,0.0,2.5,0.0,13.9,0.0,0.0,3.2
525,0.0,0.0,0.0,0.0,36.1,0.0,2.5,0.0,13.8,0.0,0.0,3.2
530,0.0,0.0,0.0,0.0,35.8,0.0,2.5,0.0,13.7,0.0,0.0,3.2
535,0.0,0.0,0.0,0.0,35.5,0.0,2.5,0.0,13.6,0.0,0.0,3.3
540,0.0,0.0,0.0,0.0,35.2,0.0,2.5,0.0,13.5,0.0,0.0,3.3
545,0.0,0.0,0.0,0.0,35.3,0.0,2.5,0.0,13.3,0.0,0.0,3.4
550,0.0,0.0,0.0,0.0,35.7,0.0,2.5,0.0,13.2,0.0,0.0,3.4
555,0.0,0.0,0.0,0.0,36.0,0.0,2.5,0.0,13.1,0.0,0.0,3.4
560,0.0,0.0,0.0,0.0,36.3,0.0,2.5,0.0,13.0,0.0,0.0,3.4
565,0.0,0.0,0.0,0.0,36.5,0.0,2.5,0.0,13.0,4.5,0.0,3.5
570,0.0,0.0,0.0,0.0,36.5,0.0,2.5,0.0,13.3,4.5,0.0,3.5
575,0.0,0.0,0.0,0.0,36.5,0.0,2.5,0.0,13.5,4.5,0.0,3.5
580,0.0,0.0,0.0,0.0,36.5,0.0,2.5,0.0,13.7,4.5,0.0,3.5
585,0.0,0.0,0.0,0.0,36.6,0.0,2.5,0.0,13.9,4.5,0.0,3.5
590,0.0,0.0,0.0,0.0,36.7,0.0,2.5,0.0,13.9,0.0,0.0,3.5
595,0.0,0.0,0.0,0.0,37.0,0.0,2.5,0.0,13.8,0.0,0.0,3.6
600,0.0,0.0,0.0,0.0,37.3,0.0,2.5,0.0,13.7,0.0,0.0,3.6
605,0.0,0.0,0.0,0.0,37.2,0.0,2.5,0.0,13.6,0.0,0.0,3.6
610,0.0,0.0,0.0,0.0,37.0,0.0,2.6,0.0,13.5,0.0,0.0,3.6
615,0.0,0.0,0.0,0.0,36.7,0.0,2.6,0.0,13.4,0.0,0.0,3.6
620,0.0,0.0,0.0,0.0,36.4,0.0,2.6,0.0,13.3,0.0,0.0,3.7
625,0.0,0.0,0.0,0.0,36.2,0.0,2.6,0.0,13.2,0.0,0.0,3.7
630,0.0,0.0,0.0,0.0,35.9,0.0,2.6,0.0,13.1,0.0,0.0,3.7
635,0.0,0.0,0.0,0.0,35.6,0.0,2.6,0.0,13.0,0.0,0.0,3.7
640,0.0,0.0,0.0,0.0,35.6,0.0,2.6,0.0,12.9,0.0,0.0,3.7
645,0.0,0.0,0.0,0.0,35.9,0.0,2.6,0.0,12.8,0.0,0.0,3.8
650,0.0,0.0,0.0,0.0,36.2,0.0,2.6,0.0,12.7,0.0,0.0,3.8
